# Progression Timeline

## Tech Tree

Tech Name,Age,Prerequisites,Research Cost (XP),Research Time,Unlock Cost,Tier
Stone Tools,Stone,None,10,10 min,50,1
Basic Farming,Stone,Stone Tools,25,30 min,100,2
Copper Tools,Copper,Stone Tools + Fire,50,1 hour,200,3
Bronze Tools,Bronze,Copper Tools x2,100,2 hours,500,4
Iron Tools,Iron,Bronze Tools + Mining,200,4 hours,1000,5
Steel,Medieval,Iron Tools x3,400,8 hours,2500,6
Steam Power,Industrial,Steel + Coal Mining,800,1 day,5000,7
Electronics,Modern,Steam Power x2,1500,2 days,10000,8
Rocketry,Space,Electronics x3,3000,3 days,20000,9
Planetary Defense,Space,Rocketry + Computing,4000,4 days,30000,10

## Server Lifecycle

Day,Phase,Key Events,Population,AI Count,Human Players,Tech Level
1,Survival,Spawn basic tools,20-30,20,5,Stone
7,Establishment,Neighborhood forms,30-45,35,8,Copper
15,Growth,Town formation,50-70,50,12,Bronze
25,Industrial,Meteor prep begins,80-100,80,18,Iron/Steel
30,Crisis,Meteor impact,60-80,70,16,Steel
45,Recovery,Ecosystem healing,90-110,100,20,Industrial
90,Late Game,Space program,140-160,150,30,Modern
120,Endgame,Interstellar,180+,180,40,Space

## Skill Progression

Skill Level,XP Required,Total XP,Time to Achieve,Efficiency
Beginner,0,0,0 hours,50%
Novice,100,100,2-3 hours,75%
Apprentice,250,350,6-8 hours,90%
Journeyman,500,850,15-20 hours,100%
Expert,1000,1850,40-50 hours,125%
Master,2000,3850,80-100 hours,150%

## Configuration Settings

Setting,Casual,Normal,Hardcore,Range
Meteor Day,45,30,20,15-60
Resource Abundance,2.0x,1.0x,0.5x,0.3-3.0x
Research Speed,2.0x,1.0x,0.5x,0.25-2.0x
Pollution Rate,0.5x,1.0x,2.0x,0.25-3.0x
XP Gain,2.0x,1.0x,0.5x,0.25-2.0x
